routeID,agencyID,routeShortName,routeLongName,routeDesc
1,3,132,Maerdy - Cardiff,Jubilee
2,3,122,Tonypandy - Cardiff,Jubilee
3,FirtCymuBussLtd,63,Porthcawl - Talbot Green,
4,FirtCymuBussLtd,63,Porthcawl - Talbot Green,
5,FirtCymuBussLtd,111,Llanelli - Swansea,
6,FirtCymuBussLtd,111,Llanelli - Swansea,
7,FirtCymuBussLtd.,X13,Swansea - Ammanford/Llandeilo,
8,FirtCymuBussLtd.,X13,Swansea - Ammanford/Llandeilo,
9,FirtCymuBussLtd,X2,Porthcawl - Cardiff,
10,FirtCymuBussLtd,X2,Porthcawl - Cardiff,
11,FirtCymuBussLtd,X6,Swansea - Ystradgynlais,
12,FirtCymuBussLtd,X6,Swansea - Ystradgynlais,
13,3,124,Cardiff - Maerdy,Jubilee
14,3,X24,Blaenavon - Newport,Jubilee
15,FirtCymuBussLtd.,X11,Swansea - Carmarthen,
16,3,151,Blackwood - Newport,Jubilee
17,3,151,Blackwood - Newport,Jubilee
18,3,172,Aberdare - Bridgend,Jubilee
19,FirtCymuBussLtd.,X11,Swansea - Carmarthen,
20,FirtCymuBussLtd,16,Swansea - Pontarddulais,
21,FirtCymuBussLtd,16,Swansea - Pontarddulais,
22,LlewJonsCoas,19,Llandudno - Cwm Penmachno,"Llandudno - Cwm Penmachno via Llanrwst, Betws y Coed"
23,FirtCymuBussLtd,36,City Centre - Morriston Cross,
24,FirtCymuBussLtd,36,City Centre - Morriston Cross,
25,3,120,Blaencwm - Caerphilly,Jubilee
26,FirtCymuBussLtd.,T1,Carmarthen - Aberystwyth,
27,3,X15,Brynmawr - Newport,
28,ArraCymu,12,Rhyl - Llandudno,Rhyl - Llandudno  
29,FirtCymuBussLtd,31,Swansea - Morriston Hospital,
30,FirtCymuBussLtd,31,Swansea - Morriston Hospital,
31,TANV,T12,Machynlleth - Wrexham,"Machynlleth - Wrexham via Newtown, Welshpool, Oswestry"
32,3,X24,Blaenavon - Newport,Jubilee
33,3,78,Abergavenny - Merthyr Tydfil,
34,3,50,Bargoed - Newport,Jubilee
35,FirtCymuBussLtd,74,Bridgend - Nantymoel,
36,FirtCymuBussLtd,74,Bridgend - Nantymoel,
37,CarfBus,94,Cardiff - Barry,"Cardiff - Barry via Penarth, Sullly"
38,FirtCymuBussLtd.,129,Carmarthen - Ammanford,
39,RicsBros,T5,Aberystwyth - Haverfordwest,"Aberystwyth - Haverfordwest via New Quay, Cardigan"
40,NADT,116,Swansea - Landimore,"Swansea - Landimore via Penclawdd, Llanrhidian"
41,FirtCymuBussLtd,87,Neath - Margam,
42,FirtCymuBussLtd,87,Neath - Margam,
43,FirtCymuBussLtd.,129,Ammanford - Carmarthen,
44,FirtCymuBussLtd,4,Singleton Hospital - Morriston Hospital,
45,FirtCymuBussLtd,4,Singleton Hospital - Morriston Hospital,
46,CarfBus,94,Cardiff - Barry,"Cardiff - Barry via Penarth, Sully"
47,3,23,Pontypool - Newport,Jubilee
48,FirtCymuBussLtd,70,Cymmer - Bridgend,
49,FirtCymuBussLtd,70,Cymmer - Bridgend,
50,FirtCymuBussLtd,25,Swansea - Blaen-y-Maes,
51,3,9,Glynhafod - Merthyr Tydfil,Jubilee
52,FirtCymuBussLtd,25,Swansea - Blaen-y-Maes,
53,ArraCymu,11,Chester - Holywell,Chester - Holywell via Hawarden
54,CarfBus,9,Heath Hospital - Cardiff Sports Village,"Heath Hospital - Cardiff Sports Village via Grangetown, Whitchurch Road"
55,AdveTral,T6,Brecon - Swansea,Brecon - Swansea  
56,FirtCymuBussLtd,34,Swansea - Neath,
57,CarfBus,50,Cardiff City Centre - Llanrumney,"Cardiff City Centre - Llanrumney via Broadway, Ball Road, Burnham Avenue"
58,3,26,Cardiff - Blackwood,Jubilee
59,CarfBus,50,Cardiff - Llanrumney,"Cardiff - Llanrumney via Broadway, Ball Road, Burnham Avenue"
60,ArraCymu,5,Llandudno - Bangor,Llandudno - Bangor via Penmaenmawr
61,ArraCymu,4,Chester - Mold,Chester - Mold  
62,CarfBus,44,Cardiff City Centre - St Mellons,"Cardiff City Centre - St Mellons via Newport Road, Rumney, Trowbridge"
63,3,56,Tredegar - Newport,Jubilee
64,GwyrCoas,S3,Beddgelert - Dinorwig,Beddgelert - Dinorwig via Caernarfon
65,FirtCymuBussLtd,X7,Swansea - Glynneath,
66,FirtCymuBussLtd,X7,Swansea - Glynneath,
67,NWPT,30,Cardiff - Newport,Cardiff - Newport  
68,CarfBus,95,Cardiff - Barry,"Cardiff - Barry via Llandough, Dinas Powys, Gibbonsdown, Morrisons"
69,LlosCoas,T2,Bangor - Aberystwyth,Bangor - Aberystwyth  
70,SarsBros,461,Llandrindod Wells - Hereford,Llandrindod Wells - Hereford via Kington
71,FirtCymuBussLtd,83,Port Talbot - Blaengwynfi/Glyncorrwg,
72,CarfBus,61,Cardiff City Centre - Pentrebane,"Cardiff City Centre - Pentrebane via Canton, Fairwater"
73,FirtCymuBussLtd,3A,Swansea - Bracelet Bay,
74,FirtCymuBussLtd,3A,Swansea - Bracelet Bay,
75,CarfBus,17,Cardiff City Centre - Ely,Cardiff City Centre - Ely  
76,FirtCymuBussLtd,83,Port Talbot - Blaengwynfi/Glyncorrwg,
77,CarfBus,61,Cardiff City Centre - Pentrebane,"Cardiff City Centre - Pentrebane via Canton, Fairwater"
78,FirtCymuBussLtd.,128,Ammanford - Llanelli,
79,CarfBus,49,Cardiff - Llanrumney,"Cardiff - Llanrumney via Broadway, Llanrumney Avenue"
80,FirtCymuBussLtd,72,Bridgend - Blaengarw,
81,CelcTral,X75,Rhayader - Shrewsbury,"Rhayader - Shrewsbury via Llanidloes, Newtown, Welshpool"
82,FirtCymuBussLtd,72,Bridgend - Blaengarw,
83,CarfBus,45,Cardiff City Centre - St Mellons,"Cardiff City Centre - St Mellons via Newport Road, Runmey"
84,CarfBus,49,Cardiff City Centre - Llanrumney,"Cardiff City Centre - Llanrumney via Broadway, Llanrumney Avenue"
85,CarfBus,28,Cardiff City Centre - Thornhill,"Cardiff City Centre - Thornhill via Albany Road, Roath Park Lake"
86,CarfBus,18,Cardiff City Centre - Ely,Cardiff City Centre - Ely  
87,FirtCymuBussLtd.,302,Withybush Industrial Estate (First Cymru Depot) - Withybush Industrial Estate (First Cymru Depot),
