stopID,tripID,arrivaltime,departuretime,stopsequence
     5710AWA11774  ,304,  09:41:00  ,  09:41:00  ,5
     5520AWA14436  ,322,  15:15:00  ,  15:15:00  ,77
     5520AWA14448  ,322,  15:20:00  ,  15:20:00  ,78
     5520AWM26236  ,322,  15:21:00  ,  15:21:00  ,79
     5520AWA14225  ,322,  15:21:00  ,  15:21:00  ,80
     5520AWA14226  ,322,  15:22:00  ,  15:22:00  ,81
     5520AWA14229  ,322,  15:23:00  ,  15:23:00  ,82
     5520AWA14231  ,322,  15:24:00  ,  15:24:00  ,83
     5520AWA14233  ,322,  15:25:00  ,  15:25:00  ,84
     5520AWA17250  ,322,  15:26:00  ,  15:26:00  ,85
     5520AWA13644  ,322,  15:26:00  ,  15:26:00  ,86
     5520AWA13642  ,322,  15:27:00  ,  15:27:00  ,87
     5520AWA13639  ,322,  15:27:00  ,  15:27:00  ,88
     5520AWA13638  ,322,  15:29:00  ,  15:29:00  ,89
     5520AWA13520  ,322,  15:30:00  ,  15:30:00  ,90
     5520AWA13518  ,322,  15:31:00  ,  15:31:00  ,91
     5520AWA13517  ,322,  15:31:00  ,  15:31:00  ,92
     5520AWA13431  ,348,  12:51:00  ,  12:51:00  ,65
     5520AWA13433  ,348,  12:51:00  ,  12:51:00  ,66
     5520WDB48300  ,348,  12:52:00  ,  12:52:00  ,67
     5520AWA13436  ,348,  12:52:00  ,  12:52:00  ,68
     5520AWA13438  ,348,  12:53:00  ,  12:53:00  ,69
     5520AWA13439  ,348,  12:54:00  ,  12:54:00  ,70
     5520RCX16436  ,348,  12:54:00  ,  12:54:00  ,71
     5520AWA14425  ,348,  12:55:00  ,  12:55:00  ,72
     5520AWA14426  ,348,  12:56:00  ,  12:56:00  ,73
     5520WDB21775  ,348,  12:56:00  ,  12:56:00  ,74
     5520AWA14441  ,348,  12:57:00  ,  12:57:00  ,75
     5520WDB21776  ,348,  12:57:00  ,  12:57:00  ,76
     5510AWA12563  ,423,  09:34:00  ,  09:34:00  ,20
     5510AWA12562  ,423,  09:35:00  ,  09:35:00  ,21
     5510AWA12561  ,423,  09:36:00  ,  09:36:00  ,22
     5510AWN26426  ,423,  09:37:00  ,  09:37:00  ,23
     5510AWN26423  ,423,  09:38:00  ,  09:38:00  ,24
     5510AWA12549  ,423,  09:38:00  ,  09:38:00  ,25
     5510WDB47579  ,423,  09:39:00  ,  09:39:00  ,26
     5510AWA12550  ,423,  09:39:00  ,  09:39:00  ,27
     5510AWA12553  ,423,  09:40:00  ,  09:40:00  ,28
     5510AWA12554  ,423,  09:41:00  ,  09:41:00  ,29
     5510AWA12555  ,423,  09:42:00  ,  09:42:00  ,30
     5510WDB23835  ,423,  09:43:00  ,  09:43:00  ,31
     5510AWA12810  ,423,  09:44:00  ,  09:44:00  ,32
     5510AWA12807  ,423,  09:45:00  ,  09:45:00  ,33
     5510AWA12805  ,423,  09:46:00  ,  09:46:00  ,34
     5510AWA12804  ,423,  09:47:00  ,  09:47:00  ,35
     5510AWA12802  ,423,  09:48:00  ,  09:48:00  ,36
     5510AWA12813  ,423,  09:49:00  ,  09:49:00  ,37
     5510AWN26210  ,423,  09:50:00  ,  09:50:00  ,38
     5510AWA12815  ,423,  09:52:00  ,  09:52:00  ,39
     5510AWA12817  ,423,  09:53:00  ,  09:53:00  ,40
     5510WDB23830  ,423,  09:54:00  ,  09:54:00  ,41
     5510AWA13120  ,423,  09:58:00  ,  09:58:00  ,42
     5510AWA13110  ,423,  09:59:00  ,  09:59:00  ,43
     5510AWN26219  ,423,  10:00:00  ,  10:00:00  ,44
